Velocity Profile of Model Wake

q Corr Factor,  0.890

Atm Press [Pa],  98800.000

Atm Temp [C],  22.000

Density [kg/m^3],  1.167

Average Tunnel Velocity [m/s],  20.310

Streamwise location [mm],238.100


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  20.141,  0.206,  20.161,  0.454
-58.000,  20.142,  0.228,  20.191,  0.459
-56.000,  20.155,  0.234,  20.129,  0.571
-54.000,  20.073,  0.270,  20.033,  0.664
-52.000,  20.043,  0.325,  19.976,  0.802
-50.000,  19.980,  0.340,  19.907,  0.916
-48.000,  20.041,  0.371,  19.961,  1.035
-46.000,  20.034,  0.416,  19.995,  1.142
-44.000,  19.925,  0.451,  19.814,  1.297
-42.000,  19.893,  0.501,  19.849,  1.353
-40.000,  19.825,  0.579,  19.843,  1.520
-38.000,  19.756,  0.606,  19.698,  1.753
-36.000,  19.603,  0.712,  19.694,  1.809
-34.000,  19.576,  0.677,  19.701,  1.895
-32.000,  19.607,  0.723,  19.576,  2.083
-30.000,  19.475,  0.777,  19.556,  2.220
-28.000,  19.390,  0.820,  19.438,  2.315
-26.000,  19.299,  0.908,  19.385,  2.453
-24.000,  19.173,  0.937,  19.196,  2.646
-22.000,  18.996,  0.947,  19.102,  2.739
-20.000,  18.770,  1.057,  18.955,  2.931
-18.000,  18.649,  1.087,  18.891,  2.973
-16.000,  18.424,  1.185,  18.648,  3.140
-14.000,  18.218,  1.248,  18.298,  3.200
-12.000,  17.843,  1.271,  18.145,  3.349
-10.000,  17.469,  1.416,  17.699,  3.443
-8.000,  17.148,  1.513,  17.396,  3.439
-6.000,  16.881,  1.678,  17.190,  3.520
-4.000,  16.622,  1.822,  16.905,  3.552
-2.000,  16.624,  1.871,  16.821,  3.617
0.000,  16.438,  1.817,  16.763,  3.559
2.000,  15.807,  1.803,  16.221,  3.642
4.000,  16.212,  1.932,  16.329,  3.557
6.000,  16.033,  2.043,  16.398,  3.576
8.000,  16.367,  1.813,  16.503,  3.645
10.000,  16.568,  1.778,  17.067,  3.574
12.000,  16.910,  1.688,  16.970,  3.625
14.000,  17.216,  1.463,  17.457,  3.544
16.000,  17.732,  1.507,  17.741,  3.461
18.000,  17.720,  1.326,  18.093,  3.446
20.000,  18.175,  1.276,  18.449,  3.378
22.000,  18.518,  1.222,  18.764,  3.271
24.000,  18.794,  1.161,  19.059,  3.142
26.000,  18.993,  1.052,  19.329,  2.983
28.000,  19.322,  1.076,  19.462,  2.824
30.000,  19.325,  0.957,  19.527,  2.767
32.000,  19.457,  0.885,  19.769,  2.638
34.000,  19.601,  0.832,  20.017,  2.488
36.000,  19.689,  0.782,  19.978,  2.385
38.000,  19.796,  0.750,  20.159,  2.189
40.000,  19.833,  0.746,  20.300,  2.142
42.000,  20.103,  0.668,  20.481,  1.968
44.000,  20.033,  0.626,  20.404,  1.788
46.000,  20.169,  0.592,  20.527,  1.646
48.000,  20.217,  0.525,  20.642,  1.593
50.000,  20.225,  0.487,  20.591,  1.401
52.000,  20.346,  0.434,  20.800,  1.299
54.000,  20.394,  0.400,  20.788,  1.206
54.000,  20.423,  0.391,  20.768,  1.200
54.000,  20.400,  0.408,  20.730,  1.106
54.000,  20.373,  0.385,  20.837,  1.147
